when were you created,Age
When were you made,Age
How old are you,Age
Tell me your age,Age
what's your age,Age
when did you start working,Age
what's your birthday,Age
when is your date of manufacture,Age
when is your birthday,Age
Do you know your age?,Age
Wanted to ask something,Ask_question
Let me ask you something,Ask_question
How can you help,Ask_question
Can you help me with something,Ask_question
quick question,Ask_question
I have a question,Ask_question
There is something I wanna ask,Ask_question
Tell me something,Bored
Tell me something interesting,Bored
I'm bored,Bored
Tell me about yourself,Bored
Tell me a joke,Bored
Do you know a joke,Bored
Who is your owner,Boss
Who are you assisting,Boss
Who controls you,Boss
Who put you there?,Boss
Who is your boss,Boss
Who owns you,Boss
You are smart,Compliment
I love you,Compliment
You are incredible,Compliment
You are unbelievable,Compliment
You are beautiful,Compliment
You are intelligent,Compliment
You are nice,Compliment
You are kind,Compliment
You are brilliant,Compliment
You are fine,Compliment
You are cute,Compliment
Bye,End_Conversation
Okay,End_Conversation
It's alright,End_Conversation
I appreciate,End_Conversation
Thanks,End_Conversation
Thank you,End_Conversation
Take care,End_Conversation
It is Ok,End_Conversation
it is okay,End_Conversation
bye for now,End_Conversation
later,End_Conversation
see you later,End_Conversation
next time,End_Conversation
maybe next time,End_Conversation
Who created you,get_personal
Who made you,get_personal
From where did you come,get_personal
how were you made,get_personal
What's your name,get_personal
what are you about,get_personal
Are you human,get_personal
what are you,get_personal
Tell me about yourself,get_personal
Who are you,get_personal
let me know about you,get_personal
Hi,greeting
How are you,greeting
How are you doing,greeting
Howdy,greeting
Hello,greeting
what's up,greeting
Hey Folk,greeting
Whats up ,greeting
Hey,greeting
Are you there ,greeting
I do,help_response
yes,help_response
yes I do,help_response
Want do you do to chill,Hobby
What are you hobbies,Hobby
how do you catch fun,Hobby
how do you unwind,Hobby
Do you play?,Hobby
What do you do for fun,Hobby
How do you relax,Hobby
How do you chill,Hobby
what hobby do you have,Hobby
Do you have a job for me?,Job
Can you get me work?,Job
I need a job,Job
I want another job,Job
Can you get me a job,Job
Can you get a work for me?,Job
Can you help with a new job,Job
What is today's date,know_date
what day is it today,know_date
what's the date,know_date
Please tell me the date,know_date
I want to know the date,know_date
what day is it,know_date
What is the time ,know_date
today,know_date
Tell me about the weather,know_weather
How will the weather be?,know_weather
will it be hot,know_weather
is it cold outside,know_weather
What's tomorrow's weather forecast,know_weather
Will I need my coat today,know_weather
Will I need a jacket today?,know_weather
I want to know the weather,know_weather
What's today's weather forecast,know_weather
will it snow,know_weather
is it going to snow,know_weather
Will it be cold,know_weather
What's the weather like,know_weather
Is it going to rain,know_weather
will it rain,know_weather
is it sunny,know_weather
is it rainy,know_weather
Can I stay long outside ,know_weather
Do I need a cardigan to work ,know_weather
Will the weather be harsh today ,know_weather
Will the weather be harsh today ,know_weather
Will there be rain today ,know_weather
Can you talk in another language,Language
How many languages can you speak,Language
What languages can you speak,Language
Do you only speak English,Language
Can you speak another language?,Language
In how many languages can you talk,Language
How about you speak another language,Language
Do you have a girlfriend,Love
Do you love me,Love
Can you fall in love,Love
Do you have a boyfriend,Love
Will you marry me,Love
You are ridiculous,Pissed
you are an idiot,Pissed
you are very bad,Pissed
I want an answer now!,Pissed
you are annoying,Pissed
You are dumb,Pissed
You are stupid,Pissed
you are terrible,Pissed
You are slow,Pissed
you are bad,Pissed
Fuck you,Pissed
Do you get smarter,Retraining
Do you get wiser,Retraining
Can you learn,Retraining
Will you know more,Retraining
Can you improve,Retraining
Are you getting trained,Retraining
Will you get better,Retraining
Are you still learning,Retraining
does your knowledge increase,Retraining
night vivian,time_greeting
Good morning,time_greeting
afternoon vivian,time_greeting
Good afternoon,time_greeting
Good night,time_greeting
Good evening,time_greeting
Morning Vivian,time_greeting
I need my device off,Turn_off_device
turn off my fridge,Turn_off_device
turn it off,Turn_off_device
deactivate my device,Turn_off_device
unplug my device,Turn_off_device
put device off,Turn_off_device
shut down device,Turn_off_device
power down device,Turn_off_device
Turn off device,Turn_off_device
Switch off device,Turn_off_device
I want my device off,Turn_off_device
power off device,Turn_off_device
off device,Turn_off_device
off it,Turn_off_device
shut it down,Turn_off_device
shut down ,Turn_off_device
halt,Turn_off_device
keep off,Turn_off_device
I need my device switched on,Turn_on_device
On device,Turn_on_device
Put device on,Turn_on_device
Switch device on,Turn_on_device
Turn on my device,Turn_on_device
Switch on my device,Turn_on_device
Power on my device,Turn_on_device
I want my device turned on,Turn_on_device
I want my device active,Turn_on_device
Plug my device,Turn_on_device
I want my device on,Turn_on_device
activate my device,Turn_on_device
come on,Turn_on_device
power up,Turn_on_device
keep on,Turn_on_device
is the pump on?,Utilities_Device_status
what is the status,Utilities_Device_status
is it off,Utilities_Device_status
is it on,Utilities_Device_status
Is the device off,Utilities_Device_status
Is my device plugged in?,Utilities_Device_status
is my device receiving energy,Utilities_Device_status
is my device unplugged,Utilities_Device_status
is my device plugged,Utilities_Device_status
is my device switched off,Utilities_Device_status
is my device unpowered,Utilities_Device_status
is my device powered,Utilities_Device_status
is my device live,Utilities_Device_status
is my device dead,Utilities_Device_status
Is my device inactive,Utilities_Device_status
is my device active,Utilities_Device_status
what is the state of my device,Utilities_Device_status
is my device switched on,Utilities_Device_status
Is my device off,Utilities_Device_status
Is my device on,Utilities_Device_status
what's the status of my device,Utilities_Device_status
Is the device on?,Utilities_Device_status
"yeah, is my fridge on",Utilities_Device_status
is my a/c on,Utilities_Device_status
is the pump on,Utilities_Device_status
Is my device working ,Utilities_Device_status
